arc_i,arc_j,capacity_1,capacity_2,capacity_3,capacity_4,capacity_5,capacity_6,capacity_7,capacity_8,capacity_9,capacity_10,capacity_11,capacity_12,capacity_13,capacity_14
39,38,662287447,145589712,2189282560,19331492,1599,426457258,153531059,120970977,34703174,388229733,7591842,69636976,5774000,82263498
38,39,662287447,145589712,2189282560,19331492,1599,426457258,153531059,120970977,34703174,388229733,7591842,69636976,5774000,82263498
40,39,662287447,145589712,2189282560,19331492,1599,426457258,153531059,120970977,34703174,388229733,7591842,69636976,5774000,82263498
39,40,662287447,145589712,2189282560,19331492,1599,426457258,153531059,120970977,34703174,388229733,7591842,69636976,5774000,82263498
41,40,662287447,145589712,2189282560,19331492,1599,426457258,153531059,120970977,34703174,388229733,7591842,69636976,5774000,82263498
40,41,662287447,145589712,2189282560,19331492,1599,426457258,153531059,120970977,34703174,388229733,7591842,69636976,5774000,82263498
42,41,662287447,145589712,2189282560,19331492,1599,426457258,153531059,120970977,34703174,388229733,7591842,69636976,5774000,82263498
41,42,662287447,145589712,2189282560,19331492,1599,426457258,153531059,120970977,34703174,388229733,7591842,69636976,5774000,82263498
43,42,662287447,145589712,2189282560,19331492,1599,426457258,153531059,120970977,34703174,388229733,7591842,69636976,5774000,82263498
33,43,662287447,145589712,2189282560,19331492,1599,426457258,153531059,120970977,34703174,388229733,7591842,69636976,5774000,82263498
42,43,662287447,145589712,2189282560,19331492,1599,426457258,153531059,120970977,34703174,388229733,7591842,69636976,5774000,82263498
31,44,1018997788,224004842,3368437824,29743502,2460,656148634,236223425,186126370,53394426,597331629,11680835,107143696,8883896,126570906
33,44,1064019482,233901897,3517263246,31057639,2569,685138807,246660326,194349866,55753516,623723131,12196922,111877554,9276407,132163104
34,45,535574807,117734652,1770416441,15632880,1293,344865005,124156614,97826115,28063564,313951390,6139327,56313630,4669285,66524373
46,45,365470218,80340801,1208112246,10667701,882,235331997,84723076,66755439,19150260,214236893,4189408,38427787,3186267,45395483
66,45,1217826625,267713103,4025693985,35547112,2940,784177635,282315801,222443711,63812851,713884142,13960023,128049783,10617339,151267669
200,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,46,365470218,80340801,1208112246,10667701,882,235331997,84723076,66755439,19150260,214236893,4189408,38427787,3186267,45395483
33,47,401732034,88312184,1327980685,11726146,969,258681548,93129267,73378889,21050341,235493397,4605079,42240577,3502407,49899605
48,47,401732034,88312184,1327980685,11726146,969,258681548,93129267,73378889,21050341,235493397,4605079,42240577,3502407,49899605
4,48,200866017,44156092,663990342,5863073,484,129340774,46564633,36689444,10525170,117746698,2302539,21120288,1751203,24949802
47,48,401732034,88312184,1327980685,11726146,969,258681548,93129267,73378889,21050341,235493397,4605079,42240577,3502407,49899605
66,49,88006206,19346279,290916661,2568811,212,56668574,20401543,16074888,4611433,51588817,1008820,9253513,767261,10931353
51,50,1562313882,343441250,5164444157,45602342,3772,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834
75,50,1562313882,343441250,5164444157,45602342,3772,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834
50,51,1562313882,343441250,5164444157,45602342,3772,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834
52,51,1562313882,343441250,5164444157,45602342,3772,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834
51,52,1562313882,343441250,5164444157,45602342,3772,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834
53,52,1562313882,343441250,5164444157,45602342,3772,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834
52,53,1562313882,343441250,5164444157,45602342,3772,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834
54,53,1562313882,343441250,5164444157,45602342,3772,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834
53,54,1562313882,343441250,5164444157,45602342,3772,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834
55,54,1562313882,343441250,5164444157,45602342,3772,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834
54,55,1562313882,343441250,5164444157,45602342,3772,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834
56,55,1562313882,343441250,5164444157,45602342,3772,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834
55,56,1562313882,343441250,5164444157,45602342,3772,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834
57,56,1562313882,343441250,5164444157,45602342,3772,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834
56,57,1562313882,343441250,5164444157,45602342,3772,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834
58,57,1510162056,331976788,4992049099,44080084,3646,972416998,350084817,275840620,79130924,885249774,17311082,158787729,13165998,187578995
57,58,1510162056,331976788,4992049099,44080084,3646,972416998,350084817,275840620,79130924,885249774,17311082,158787729,13165998,187578995
59,58,1459232538,320781024,4823694549,42593503,3523,939622684,338278368,266538023,76462270,855395134,16727274,153432686,12721981,181252980
58,59,1459232538,320781024,4823694549,42593503,3523,939622684,338278368,266538023,76462270,855395134,16727274,153432686,12721981,181252980
60,59,1459232538,320781024,4823694549,42593503,3523,939622684,338278368,266538023,76462270,855395134,16727274,153432686,12721981,181252980
59,60,1459232538,320781024,4823694549,42593503,3523,939622684,338278368,266538023,76462270,855395134,16727274,153432686,12721981,181252980
61,60,1428471110,314018783,4722008402,41695609,3449,919814918,331147273,260919254,74850403,837362932,16374654,150198240,12453795,177432067
60,61,1428471110,314018783,4722008402,41695609,3449,919814918,331147273,260919254,74850403,837362932,16374654,150198240,12453795,177432067
62,61,1397098527,307122192,4618301999,40779875,3373,899613621,323874501,255188854,73206512,818972474,16015028,146899534,12180280,173535241
61,62,1397098527,307122192,4618301999,40779875,3373,899613621,323874501,255188854,73206512,818972474,16015028,146899534,12180280,173535241
63,62,1397098527,307122192,4618301999,40779875,3373,899613621,323874501,255188854,73206512,818972474,16015028,146899534,12180280,173535241
62,63,1397098527,307122192,4618301999,40779875,3373,899613621,323874501,255188854,73206512,818972474,16015028,146899534,12180280,173535241
64,63,1397098527,307122192,4618301999,40779875,3373,899613621,323874501,255188854,73206512,818972474,16015028,146899534,12180280,173535241
63,64,1397098527,307122192,4618301999,40779875,3373,899613621,323874501,255188854,73206512,818972474,16015028,146899534,12180280,173535241
65,64,1397098527,307122192,4618301999,40779875,3373,899613621,323874501,255188854,73206512,818972474,16015028,146899534,12180280,173535241
64,65,1397098527,307122192,4618301999,40779875,3373,899613621,323874501,255188854,73206512,818972474,16015028,146899534,12180280,173535241
66,65,1397098527,307122192,4618301999,40779875,3373,899613621,323874501,255188854,73206512,818972474,16015028,146899534,12180280,173535241
45,66,1217826625,267713103,4025693985,35547112,2940,784177635,282315801,222443711,63812851,713884142,13960023,128049783,10617339,151267669
49,66,88006206,19346279,290916661,2568811,212,56668574,20401543,16074888,4611433,51588817,1008820,9253513,767261,10931353
65,66,1397098527,307122192,4618301999,40779875,3373,899613621,323874501,255188854,73206512,818972474,16015028,146899534,12180280,173535241
68,67,2034939806,447337938,6726774376,59397809,4913,1310329609,471738465,371694585,106628733,1192871980,23326643,213966090,17741152,252762253
74,67,1395876218,306853494,4614261490,40744197,3370,898826557,323591146,254965592,73142465,818255962,16001017,146771013,12169624,173383417
67,68,2034939806,447337938,6726774376,59397809,4913,1310329609,471738465,371694585,106628733,1192871980,23326643,213966090,17741152,252762253
69,68,2034939806,447337938,6726774376,59397809,4913,1310329609,471738465,371694585,106628733,1192871980,23326643,213966090,17741152,252762253
68,69,2034939806,447337938,6726774376,59397809,4913,1310329609,471738465,371694585,106628733,1192871980,23326643,213966090,17741152,252762253
70,69,2034939806,447337938,6726774376,59397809,4913,1310329609,471738465,371694585,106628733,1192871980,23326643,213966090,17741152,252762253
69,70,2034939806,447337938,6726774376,59397809,4913,1310329609,471738465,371694585,106628733,1192871980,23326643,213966090,17741152,252762253
71,70,1842222511,404973168,6089720761,53772589,4448,1186235925,427062863,336493556,96530547,1079902024,21117512,193702608,16060991,228824612
