arc_i,arc_j,capacity_1,capacity_2,capacity_3,capacity_4,capacity_5,capacity_6,capacity_7,capacity_8,capacity_9,capacity_10,capacity_11,capacity_12,capacity_13,capacity_14
120,119,2530585871,556295111,8365200851,73865210,6110,1629483872,586638823,462227464,132600073,1483417333,29008265,266081367,22062328,314327030
119,120,2530585871,556295111,8365200851,73865210,6110,1629483872,586638823,462227464,132600073,1483417333,29008265,266081367,22062328,314327030
121,120,2359055256,518587779,7798182728,68858407,5695,1519032623,546874704,430896316,123612047,1382866907,27041999,248045583,20566878,293021012
184,120,119989943,26377219,396643318,3502383,289,77263403,27815993,21916919,6287348,70337530,1375452,12616480,1046104,14904091
120,121,2359055256,518587779,7798182728,68858407,5695,1519032623,546874704,430896316,123612047,1382866907,27041999,248045583,20566878,293021012
122,121,2390224120,525439586,7901215713,69768195,5771,1539102743,554100251,436589505,125245263,1401137946,27399289,251322869,20838616,296892533
121,122,2390224120,525439586,7901215713,69768195,5771,1539102743,554100251,436589505,125245263,1401137946,27399289,251322869,20838616,296892533
123,122,2390224120,525439586,7901215713,69768195,5771,1539102743,554100251,436589505,125245263,1401137946,27399289,251322869,20838616,296892533
122,123,2390224120,525439586,7901215713,69768195,5771,1539102743,554100251,436589505,125245263,1401137946,27399289,251322869,20838616,296892533
124,123,2390224120,525439586,7901215713,69768195,5771,1539102743,554100251,436589505,125245263,1401137946,27399289,251322869,20838616,296892533
123,124,2390224120,525439586,7901215713,69768195,5771,1539102743,554100251,436589505,125245263,1401137946,27399289,251322869,20838616,296892533
125,124,2390224120,525439586,7901215713,69768195,5771,1539102743,554100251,436589505,125245263,1401137946,27399289,251322869,20838616,296892533
124,125,2390224120,525439586,7901215713,69768195,5771,1539102743,554100251,436589505,125245263,1401137946,27399289,251322869,20838616,296892533
126,125,2390224120,525439586,7901215713,69768195,5771,1539102743,554100251,436589505,125245263,1401137946,27399289,251322869,20838616,296892533
125,126,2390224120,525439586,7901215713,69768195,5771,1539102743,554100251,436589505,125245263,1401137946,27399289,251322869,20838616,296892533
127,126,2390224120,525439586,7901215713,69768195,5771,1539102743,554100251,436589505,125245263,1401137946,27399289,251322869,20838616,296892533
126,127,2390224120,525439586,7901215713,69768195,5771,1539102743,554100251,436589505,125245263,1401137946,27399289,251322869,20838616,296892533
128,127,2390224120,525439586,7901215713,69768195,5771,1539102743,554100251,436589505,125245263,1401137946,27399289,251322869,20838616,296892533
127,128,2390224120,525439586,7901215713,69768195,5771,1539102743,554100251,436589505,125245263,1401137946,27399289,251322869,20838616,296892533
129,128,2390224120,525439586,7901215713,69768195,5771,1539102743,554100251,436589505,125245263,1401137946,27399289,251322869,20838616,296892533
128,129,2390224120,525439586,7901215713,69768195,5771,1539102743,554100251,436589505,125245263,1401137946,27399289,251322869,20838616,296892533
130,129,2306699712,507078534,7625114252,67330203,5569,1485320068,534737675,421333245,120868670,1352176337,26441844,242540599,20110428,286517868
105,130,2214211708,486747026,7319382390,64630572,5346,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825
129,130,2306699712,507078534,7625114252,67330203,5569,1485320068,534737675,421333245,120868670,1352176337,26441844,242540599,20110428,286517868
173,130,83524408,18361052,276101461,2437991,201,53782674,19362575,15256259,4376592,48961608,957445,8782270,728188,10374664
132,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,139,113470965,24944161,375093936,3312101,273,73065731,26304767,20726187,5945760,66516137,1300724,11931035,989270,14094361
141,140,196587938,43215648,649848560,5738200,474,126586051,45572892,35908026,10301003,115238908,2253499,20670465,1713906,24418417
148,140,196587938,43215648,649848560,5738200,474,126586051,45572892,35908026,10301003,115238908,2253499,20670465,1713906,24418417
140,141,196587938,43215648,649848560,5738200,474,126586051,45572892,35908026,10301003,115238908,2253499,20670465,1713906,24418417
142,141,196587938,43215648,649848560,5738200,474,126586051,45572892,35908026,10301003,115238908,2253499,20670465,1713906,24418417
139,142,113470965,24944161,375093936,3312101,273,73065731,26304767,20726187,5945760,66516137,1300724,11931035,989270,14094361
141,142,196587938,43215648,649848560,5738200,474,126586051,45572892,35908026,10301003,115238908,2253499,20670465,1713906,24418417
75,143,300891590,66144572,994638677,8782717,726,193748806,69752499,54959746,15766407,176381210,3449139,31637592,2623253,37374096
144,143,300891590,66144572,994638677,8782717,726,193748806,69752499,54959746,15766407,176381210,3449139,31637592,2623253,37374096
143,144,300891590,66144572,994638677,8782717,726,193748806,69752499,54959746,15766407,176381210,3449139,31637592,2623253,37374096
145,144,300891590,66144572,994638677,8782717,726,193748806,69752499,54959746,15766407,176381210,3449139,31637592,2623253,37374096
144,145,300891590,66144572,994638677,8782717,726,193748806,69752499,54959746,15766407,176381210,3449139,31637592,2623253,37374096
146,145,300891590,66144572,994638677,8782717,726,193748806,69752499,54959746,15766407,176381210,3449139,31637592,2623253,37374096
145,146,300891590,66144572,994638677,8782717,726,193748806,69752499,54959746,15766407,176381210,3449139,31637592,2623253,37374096
147,146,300891590,66144572,994638677,8782717,726,193748806,69752499,54959746,15766407,176381210,3449139,31637592,2623253,37374096
146,147,300891590,66144572,994638677,8782717,726,193748806,69752499,54959746,15766407,176381210,3449139,31637592,2623253,37374096
148,147,248739764,54680110,822243619,7260459,600,160167429,57662695,45433886,13033705,145810059,2851319,26154029,2168580,30896256
131,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,148,196587938,43215648,649848560,5738200,474,126586051,45572892,35908026,10301003,115238908,2253499,20670465,1713906,24418417
147,148,248739764,54680110,822243619,7260459,600,160167429,57662695,45433886,13033705,145810059,2851319,26154029,2168580,30896256
118,149,1974231821,433992587,6526095753,57625805,4766,1271238787,457665178,360605889,103447698,1157285250,22630743,207582879,17211883,245221643
150,149,2376167574,522349555,7854749857,69357898,5737,1530051512,550841671,434021988,124508714,1392898066,27238158,249844877,20716067,295146553
163,149,896155792,197000659,2962366651,26157870,2163,577048748,207746271,163688505,46957633,525322238,10272690,94227333,7812927,111312558
96,150,2501250469,549846351,8268228630,73008940,6039,1610594348,579838309,456869168,131062928,1466221061,28671991,262996862,21806574,310683245
149,150,2376167574,522349555,7854749857,69357898,5737,1530051512,550841671,434021988,124508714,1392898066,27238158,249844877,20716067,295146553
163,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,151,703642215,154680672,2325986454,20538595,1698,453086241,163117895,128524687,36870121,412471701,8065895,73985271,6134542,87400222
152,151,1014719709,223064397,3354296042,29618629,2450,653393911,235231684,185344952,53170259,594823839,11631796,106693873,8846599,126039521
151,152,1014719709,223064397,3354296042,29618629,2450,653393911,235231684,185344952,53170259,594823839,11631796,106693873,8846599,126039521
153,152,496257219,109091522,1640446729,14485240,1198,319547795,115042036,90644510,26003363,290903608,5688627,52179537,4326503,61640689
152,153,496257219,109091522,1640446729,14485240,1198,319547795,115042036,90644510,26003363,290903608,5688627,52179537,4326503,61640689
78,154,335116225,73668125,1107772935,9781699,809,215786585,77686432,61211091,17559742,196443528,3841458,35236181,2921633,41625178
155,154,418436916,91984395,1383200978,12213745,1010,269438083,97001782,76430141,21925660,245285719,4796568,43997031,3648045,51974538
154,155,418436916,91984395,1383200978,12213745,1010,269438083,97001782,76430141,21925660,245285719,4796568,43997031,3648045,51974538
156,155,418436916,91984395,1383200978,12213745,1010,269438083,97001782,76430141,21925660,245285719,4796568,43997031,3648045,51974538
155,156,418436916,91984395,1383200978,12213745,1010,269438083,97001782,76430141,21925660,245285719,4796568,43997031,3648045,51974538
157,156,408047295,89700459,1348856649,11910482,985,262748043,94593267,74532411,21381254,239195372,4677471,42904603,3557466,50684031
156,157,408047295,89700459,1348856649,11910482,985,262748043,94593267,74532411,21381254,239195372,4677471,42904603,3557466,50684031
158,157,408047295,89700459,1348856649,11910482,985,262748043,94593267,74532411,21381254,239195372,4677471,42904603,3557466,50684031
157,158,408047295,89700459,1348856649,11910482,985,262748043,94593267,74532411,21381254,239195372,4677471,42904603,3557466,50684031
159,158,408047295,89700459,1348856649,11910482,985,262748043,94593267,74532411,21381254,239195372,4677471,42904603,3557466,50684031
158,159,408047295,89700459,1348856649,11910482,985,262748043,94593267,74532411,21381254,239195372,4677471,42904603,3557466,50684031
160,159,188642933,41469109,623585251,5506294,455,121470138,43731086,34456821,9884693,110581585,2162425,19835078,1644639,23431559
159,160,188642933,41469109,623585251,5506294,455,121470138,43731086,34456821,9884693,110581585,2162425,19835078,1644639,23431559
161,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,163,896155792,197000659,2962366651,26157870,2163,577048748,207746271,163688505,46957633,525322238,10272690,94227333,7812927,111312558
150,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,163,1276293711,280565840,4218965008,37253706,3081,821825508,295869604,233123093,66876465,748157268,14630235,134197373,11127071,158529934
163,164,1276293711,280565840,4218965008,37253706,3081,821825508,295869604,233123093,66876465,748157268,14630235,134197373,11127071,158529934
165,164,1276293711,280565840,4218965008,37253706,3081,821825508,295869604,233123093,66876465,748157268,14630235,134197373,11127071,158529934
164,165,1276293711,280565840,4218965008,37253706,3081,821825508,295869604,233123093,66876465,748157268,14630235,134197373,11127071,158529934
166,165,1276293711,280565840,4218965008,37253706,3081,821825508,295869604,233123093,66876465,748157268,14630235,134197373,11127071,158529934
165,166,1276293711,280565840,4218965008,37253706,3081,821825508,295869604,233123093,66876465,748157268,14630235,134197373,11127071,158529934
167,166,1276293711,280565840,4218965008,37253706,3081,821825508,295869604,233123093,66876465,748157268,14630235,134197373,11127071,158529934
166,167,1276293711,280565840,4218965008,37253706,3081,821825508,295869604,233123093,66876465,748157268,14630235,134197373,11127071,158529934
168,167,892692584,196239347,2950918542,26056782,2155,574818735,206943433,163055928,46776164,523292123,10232991,93863190,7782733,110882389
167,168,892692584,196239347,2950918542,26056782,2155,574818735,206943433,163055928,46776164,523292123,10232991,93863190,7782733,110882389
169,168,644971411,141783152,2132042013,18826055,1557,415307192,149516866,117808094,33795832,378079156,7393347,67816262,5623034,80112653
168,169,644971411,141783152,2132042013,18826055,1557,415307192,149516866,117808094,33795832,378079156,7393347,67816262,5623034,80112653
170,169,676547712,148724526,2236421834,19747735,1633,435639666,156836864,123575705,35450397,396589032,7755309,71136388,5898324,84034782
169,170,676547712,148724526,2236421834,19747735,1633,435639666,156836864,123575705,35450397,396589032,7755309,71136388,5898324,84034782
171,170,603616642,132692192,1995338119,17618951,1457,388678209,139930030,110254385,31628885,353837188,6919295,63467967,5262492,74975929
170,171,603616642,132692192,1995338119,17618951,1457,388678209,139930030,110254385,31628885,353837188,6919295,63467967,5262492,74975929
172,171,200254863,44021743,661970088,5845234,483,128947242,46422956,36577813,10493147,117388442,2295534,21056028,1745875,24873890
171,172,200254863,44021743,661970088,5845234,483,128947242,46422956,36577813,10493147,117388442,2295534,21056028,1745875,24873890
130,173,83524408,18361052,276101461,2437991,201,53782674,19362575,15256259,4376592,48961608,957445,8782270,728188,10374664
175,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,176,281334655,61845399,929990530,8211870,679,181155790,65218822,51387548,14741643,164917029,3224956,29581256,2452751,34944906
177,176,343876102,75593797,1136729917,10037391,830,221427207,79717141,62811138,18018750,201578526,3941873,36157249,2998004,42713252
176,177,343876102,75593797,1136729917,10037391,830,221427207,79717141,62811138,18018750,201578526,3941873,36157249,2998004,42713252
178,177,343876102,75593797,1136729917,10037391,830,221427207,79717141,62811138,18018750,201578526,3941873,36157249,2998004,42713252
177,178,343876102,75593797,1136729917,10037391,830,221427207,79717141,62811138,18018750,201578526,3941873,36157249,2998004,42713252
179,178,343876102,75593797,1136729917,10037391,830,221427207,79717141,62811138,18018750,201578526,3941873,36157249,2998004,42713252
178,179,343876102,75593797,1136729917,10037391,830,221427207,79717141,62811138,18018750,201578526,3941873,36157249,2998004,42713252
180,179,343876102,75593797,1136729917,10037391,830,221427207,79717141,62811138,18018750,201578526,3941873,36157249,2998004,42713252
179,180,343876102,75593797,1136729917,10037391,830,221427207,79717141,62811138,18018750,201578526,3941873,36157249,2998004,42713252
181,180,260351694,57232744,860628456,7599399,628,167644533,60354565,47554878,13642158,152616917,2984427,27374978,2269816,32338588
180,181,260351694,57232744,860628456,7599399,628,167644533,60354565,47554878,13642158,152616917,2984427,27374978,2269816,32338588
182,181,176827285,38871691,584526995,5161407,426,113861858,40991989,32298618,9265566,103655308,2026982,18592708,1541627,21963923
181,182,176827285,38871691,584526995,5161407,426,113861858,40991989,32298618,9265566,103655308,2026982,18592708,1541627,21963923
183,182,176827285,38871691,584526995,5161407,426,113861858,40991989,32298618,9265566,103655308,2026982,18592708,1541627,21963923
182,183,176827285,38871691,584526995,5161407,426,113861858,40991989,32298618,9265566,103655308,2026982,18592708,1541627,21963923
120,184,119989943,26377219,396643318,3502383,289,77263403,27815993,21916919,6287348,70337530,1375452,12616480,1046104,14904091
185,184,244869120,53829232,809448673,7147478,591,157675061,56765405,44726888,12830887,143541107,2806950,25747045,2134834,30415479
184,185,244869120,53829232,809448673,7147478,591,157675061,56765405,44726888,12830887,143541107,2806950,25747045,2134834,30415479
186,185,244869120,53829232,809448673,7147478,591,157675061,56765405,44726888,12830887,143541107,2806950,25747045,2134834,30415479
185,186,244869120,53829232,809448673,7147478,591,157675061,56765405,44726888,12830887,143541107,2806950,25747045,2134834,30415479
187,186,244869120,53829232,809448673,7147478,591,157675061,56765405,44726888,12830887,143541107,2806950,25747045,2134834,30415479
186,187,244869120,53829232,809448673,7147478,591,157675061,56765405,44726888,12830887,143541107,2806950,25747045,2134834,30415479
188,187,244869120,53829232,809448673,7147478,591,157675061,56765405,44726888,12830887,143541107,2806950,25747045,2134834,30415479
187,188,244869120,53829232,809448673,7147478,591,157675061,56765405,44726888,12830887,143541107,2806950,25747045,2134834,30415479
175,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
